"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TYLER.KENNEDY","2010-2011","PIT","C",80,956.69,12,15,27,24,1.69,1.51,44.54,2.79,1002,801,201,55.57,4.06,33,30,3,52.38,-1.12,36.02,32.7,3.32,52.42,1.73,11,14,3,320,20.07,12.28,0.77,6.67,99.11,51.5,26.39,30.07,52.35,29.24,49.93
"TYLER.MYERS","2009-2010","BUF","D",82,1339.02,7,17,24,15,1.08,0.67,26.05,1.17,1205,1225,-20,49.59,-1.12,64,53,11,54.7,4.98,52.32,52.52,-0.2,49.9,-1.26,11,15,4,156,6.99,4.49,0.2,11.29,101.61,51.37,35.75,28.14,51.63,29.53,50.21
"TYLER.MYERS","2010-2011","BUF","D",80,1264.23,4,13,17,12,0.81,0.57,29.5,1.4,1246,1075,171,53.68,4.88,57,52,5,52.29,-1.51,53.23,44.48,8.75,54.48,3.5,11,5,-6,172,8.16,4.09,0.19,5,99.21,52.94,33.62,27.46,48.97,29.3,49.99
"TYLER.SEGUIN","2010-2011","BOS","C",74,791.88,10,9,19,18,1.44,1.36,21.25,1.61,744,794,-50,48.37,-3,25,25,0,50,-10.36,27.78,30.92,-3.14,47.33,-2.03,7,8,1,187,14.17,9.43,0.71,8.33,100.68,50.6,22.23,29.31,50.5,28.05,49.6
"TYLER.SLOAN","2008-2009","WSH","D",26,356.3,1,4,5,2,0.84,0.34,7.2,1.21,350,323,27,52.01,-1.02,16,13,3,55.17,2.63,16.51,13.99,2.52,54.13,2.19,3,4,1,31,5.22,1.02,0.17,12.5,100.76,50.51,30.8,27.1,54.18,29,49.79
"TYLER.SLOAN","2009-2010","WSH","D",40,512.91,2,4,6,4,0.7,0.47,6.71,0.78,464,496,-32,48.33,-4.9,21,21,0,50,-11.48,17.86,20.09,-2.23,47.06,-5.26,8,5,-3,56,6.55,1.68,0.2,6.25,100.61,49.15,27.5,27.68,53.37,28.72,49.33
"TYLER.SLOAN","2010-2011","WSH","D",33,394.01,1,3,4,2,0.61,0.3,-0.24,-0.04,324,399,-75,44.81,-7.71,10,18,-8,35.71,-19.84,11.28,13.78,-2.5,45.01,-11.1,5,4,-1,28,4.26,0.46,0.07,10,97.36,52,25.68,26.37,51.6,28.07,49.35
"TYSON.STRACHAN","2008-2009","STL","D",30,336.67,0,2,2,0,0.36,0,3.68,0.66,276,274,2,50.18,1.02,15,9,6,62.5,20.61,10.84,10.32,0.52,51.23,-0.58,9,5,-4,49,8.73,1.09,0.19,0,104.72,57.76,25.44,26.54,47.95,28.45,51.24
"TYSON.STRACHAN","2009-2010","STL","D",8,96.86,0,1,1,0,0.62,0,0.67,0.42,77,104,-27,42.54,-4.21,4,2,2,66.67,13.33,3.27,4.9,-1.63,40.02,-5.59,0,3,3,15,9.29,0.35,0.22,0,107.66,51.22,26.76,26.47,51.48,28.43,48.66
"TYSON.STRACHAN","2010-2011","STL","D",29,318.62,0,1,1,1,0.19,0.19,4.07,0.77,302,277,25,52.16,-0.9,8,18,-10,30.77,-18.61,10.41,11.6,-1.19,47.3,-3.61,7,10,3,55,10.36,1.03,0.19,0,93.9,55.24,23.54,26.97,51.7,28.36,50.15
"TY.WISHART","2010-2011","NYI","D",20,286.58,0,3,3,1,0.63,0.21,5.1,1.07,288,272,16,51.43,6.13,14,12,2,53.85,7.18,14.38,11.52,2.86,55.52,7.37,3,1,-2,44,9.21,0.64,0.13,0,100.51,50,31.09,27.88,45.8,29.13,50.03
"VACLAV.PROSPAL","2007-2008","T.B/PHI","C",77,1166.64,20,25,45,37,2.31,1.9,42.77,2.2,1037,1087,-50,48.82,-1.24,62,55,7,52.99,10.3,45.72,44.91,0.81,50.45,0.58,15,11,-4,245,12.6,12.6,0.65,12.82,100.87,58.12,33.49,33.4,48.91,29.68,49.97
"VACLAV.PROSPAL","2008-2009","T.B","C",82,1086.62,10,16,26,19,1.44,1.05,25.08,1.38,976,983,-7,49.82,3.11,39,52,-13,42.86,-6.31,36.72,39.66,-2.94,48.08,-0.33,16,9,-7,211,11.65,8.31,0.46,8,97.79,55.42,30.34,30.59,47.29,29.56,49.68
