"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TAYLOR.HALL","2011-2012","EDM","L",61,874.67,13,18,31,26,2.13,1.78,39.24,2.69,853,782,71,52.17,6.36,41,38,3,51.9,9.04,39.68,34.12,5.56,53.77,9.8,15,24,9,272,18.66,13.57,0.93,8.97,100.33,56.67,30.35,31.39,45.84,29.64,50.46
"TAYLOR.HALL","2012-2013","EDM","L",45,651.15,12,21,33,28,3.04,2.58,34.74,3.2,648,639,9,50.35,8.47,35,30,5,53.85,10.55,29.93,29,0.93,50.79,10.59,6,12,6,196,18.06,10.25,0.94,10.26,100.76,54.04,30.96,31.64,41.72,29.67,50.08
"TAYLOR.PYATT","2009-2010","ARI","L",74,856.15,11,10,21,16,1.47,1.12,27.61,1.93,798,757,41,51.32,-0.72,37,21,16,63.79,13.79,31.48,28.4,3.08,52.57,1.12,15,10,-5,187,13.11,10.07,0.71,9.91,103.56,49.88,25.7,29.07,51.85,28.98,49.82
"TAYLOR.PYATT","2010-2011","ARI","L",76,985.24,15,11,26,21,1.58,1.28,24.04,1.46,887,1002,-115,46.96,-4.32,40,31,9,56.34,2.53,34.41,39.28,-4.87,46.7,-1.96,10,7,-3,192,11.69,9.64,0.59,12.93,102.31,39.23,27.47,30.12,50.13,29.2,50.07
"TAYLOR.PYATT","2011-2012","ARI","L",73,846.57,9,9,18,14,1.28,0.99,17.17,1.22,766,841,-75,47.67,-4.08,27,31,-4,46.55,-8.49,29.69,34.39,-4.7,46.33,-4.62,7,8,1,174,12.33,10.38,0.74,8.49,100.13,40.32,23.91,29.18,48.54,28.5,49.81
"TAYLOR.PYATT","2012-2013","NYR","L",48,583,5,4,9,9,0.93,0.93,11.65,1.2,522,545,-23,48.92,-4.06,20,14,6,58.82,1.91,23.81,21.44,2.37,52.62,-1.8,2,2,0,89,9.16,5.16,0.53,9.43,101.55,52.81,25.03,30.04,50.51,28.45,49.64
"TEDDY.PURCELL","2009-2010","L.A/T.B","R",60,654.65,4,8,12,8,1.1,0.73,15.82,1.45,604,573,31,51.32,1.6,18,22,-4,45,-5.82,24.4,23.72,0.68,50.71,-0.43,5,5,0,172,15.76,7.14,0.65,4.6,99.1,54.07,23.74,30.06,48.76,28.71,49.99
"TEDDY.PURCELL","2010-2011","T.B","R",81,886.69,13,15,28,22,1.89,1.49,38.99,2.64,911,785,126,53.71,2.66,41,29,12,58.57,10.54,34.37,28.41,5.96,54.75,-1.26,6,5,-1,234,15.83,9.21,0.62,8.9,101.41,46.54,23.91,29.04,50.5,28.64,49.67
"TEDDY.PURCELL","2011-2012","T.B","R",81,1050.83,14,28,42,34,2.4,1.94,40.29,2.3,990,1006,-16,49.6,3.31,62,46,16,57.41,13.84,40.68,41.5,-0.82,49.5,2.99,6,11,5,205,11.71,8.98,0.51,12.28,103.38,55.91,27.23,30.97,47.22,29.07,49.74
"TEDDY.PURCELL","2012-2013","T.B","R",48,609.08,7,14,21,17,2.07,1.67,18.67,1.84,554,587,-33,48.55,1.9,31,28,3,52.54,2.19,23.83,23.18,0.65,50.69,2.86,5,3,-2,120,11.82,4.9,0.48,9.72,100.99,54.23,26.7,31.27,47.49,29.59,50.18
"TEEMU.HARTIKAINEN","2010-2011","EDM","C",12,168.18,2,1,3,3,1.07,1.07,3.99,1.42,142,142,0,50,0.08,3,6,-3,33.33,9.52,5.45,6.41,-0.96,45.95,-0.48,1,7,6,27,9.63,1.51,0.54,14.29,96.72,51.55,30.81,29.82,45.73,27.81,49.42
"TEEMU.HARTIKAINEN","2011-2012","EDM","C",17,219.4,2,3,5,4,1.37,1.09,2.66,0.73,173,228,-55,43.14,-1.77,8,8,0,50,3.49,8.31,7.95,0.36,51.11,6.28,4,2,-2,36,9.85,2.41,0.66,8.33,101.52,55.36,27.11,30.76,47.73,28.91,50.24
"TEEMU.HARTIKAINEN","2012-2013","EDM","C",23,195.13,0,0,0,0,0,0,-0.96,-0.3,153,178,-25,46.22,0.05,0,7,-7,0,-40.32,7.25,8.33,-1.08,46.53,1.95,2,1,-1,42,12.91,2.09,0.64,0,92.39,41.49,18.8,28.92,43.84,28.19,50.22
"TEEMU.LAAKSO","2009-2010","NSH","D",7,70.48,0,0,0,0,0,0,-1.22,-1.04,41,72,-31,36.28,-13.5,1,3,-2,25,-13.89,1.12,3.83,-2.71,22.63,-27.96,0,0,0,8,6.81,0.18,0.15,0,98.88,60.98,20.95,26.51,50.07,28.13,48.39
"TEEMU.LAAKSO","2011-2012","NSH","D",9,95.41,0,0,0,0,0,0,-2.22,-1.4,68,112,-44,37.78,-5.11,2,3,-1,40,0.87,1.92,3.87,-1.95,33.16,-9.78,4,1,-3,10,6.29,0.18,0.11,0,101.12,42.86,24.16,24.09,47.6,27.86,49.74
"TEEMU.SELANNE","2009-2010","ANA","R",54,677.13,10,7,17,15,1.51,1.33,19.9,1.76,585,618,-33,48.63,2.6,26,18,8,59.09,8.72,25.64,30.35,-4.71,45.79,-0.11,6,6,0,150,13.29,8.63,0.76,9.62,102.81,51.63,27.8,30.49,49.03,29.21,50.13
"TEEMU.SELANNE","2010-2011","ANA","R",73,996.22,12,26,38,29,2.29,1.75,26.62,1.6,785,961,-176,44.96,1.06,44,39,5,53.01,8.18,32.12,39.92,-7.8,44.59,1.37,14,10,-4,170,10.24,9.47,0.57,10.43,102.25,43.17,29,31.12,43.59,29.58,50.41
