"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TIM.SESTITO","2010-2011","N.J","C",36,355.22,0,2,2,2,0.34,0.34,1.35,0.23,250,293,-43,46.04,-6.95,4,9,-5,30.77,-18.38,9.69,11.54,-1.85,45.64,-6.25,3,7,4,42,7.09,1.53,0.26,0,96.93,50.68,20.55,28.02,50.98,28.05,49.51
"TIM.SESTITO","2011-2012","N.J","C",18,144.22,0,0,0,0,0,0,-0.59,-0.25,78,95,-17,45.09,-6.11,2,7,-5,22.22,-25.69,3.45,3.4,0.05,50.36,2.71,1,4,3,15,6.24,0.51,0.21,0,93.21,49.23,17.03,26.83,48.28,27.27,48.65
"TIM.STAPLETON","2009-2010","ATL","R",6,70.07,1,0,1,1,0.86,0.86,0.26,0.22,55,82,-27,40.15,-6.65,1,0,1,100,55.56,2.23,2.82,-0.59,44.16,-4.21,1,2,1,13,11.13,0.66,0.57,20,104.17,33.33,24.57,29.13,48.85,29.82,51.3
"TIM.STAPLETON","2010-2011","ATL","R",45,465.65,2,1,3,2,0.39,0.26,5.41,0.7,427,402,25,51.51,1.32,8,16,-8,33.33,-12.24,16.79,16.25,0.54,50.82,2.35,6,3,-3,69,8.89,3.82,0.49,5,95.29,59.52,21.52,28.82,47.55,28.52,49.69
"TIM.STAPLETON","2011-2012","WPG","R",63,518.2,6,8,14,11,1.62,1.27,13.02,1.51,436,492,-56,46.98,-3.58,21,15,6,58.33,8.1,20.54,17.73,2.81,53.67,2.36,3,3,0,87,10.07,5.36,0.62,10.17,102.39,56.36,17.12,28.37,50.16,28.12,49.28
"TIM.WALLACE","2008-2009","PIT","R",16,127.33,0,2,2,1,0.94,0.47,3.23,1.52,85,84,1,50.3,5.01,4,2,2,66.67,15.82,4.31,2.98,1.33,59.12,12.27,2,4,2,24,11.31,1.04,0.49,0,101.54,42.03,18.01,28.28,46.36,27.87,48.47
"TIM.WALLACE","2010-2011","PIT","R",7,56.22,0,0,0,0,0,0,-0.85,-0.91,43,55,-12,43.88,-10.23,0,3,-3,0,-42.86,1.57,2.4,-0.83,39.55,-8.04,1,1,0,4,4.27,0.06,0.06,0,90.32,63.33,17.22,27.65,52.99,28.12,50.62
"TIM.WALLACE","2011-2012","NYI/T.B","R",49,407.32,3,6,9,7,1.33,1.03,4.88,0.72,315,369,-54,46.05,-1.21,11,14,-3,44,1.86,12.07,15.23,-3.16,44.21,-5.27,8,5,-3,47,6.92,1.58,0.23,12,99.1,41.34,16.82,26.71,46.22,28.09,49.43
"TJ.BRENNAN","2011-2012","BUF","D",11,140,1,0,1,1,0.43,0.43,1.97,0.84,115,116,-1,49.78,4.12,5,5,0,50,9.46,4.38,5.22,-0.84,45.62,0.77,3,3,0,31,13.29,0.68,0.29,7.69,101.43,57.58,26.67,26.92,49.37,27.75,50.27
"TJ.BRODIE","2011-2012","CGY","D",54,768.02,1,7,8,3,0.62,0.23,12.43,0.97,665,624,41,51.59,7.62,32,22,10,59.26,16.3,29.12,24.24,4.88,54.57,8.61,7,4,-3,76,5.94,1.59,0.12,2.86,102.39,51.54,29.37,25.92,47.04,27.95,49.59
"T.J..GALIARDI","2008-2009","COL","L",11,146.6,3,1,4,3,1.64,1.23,3.74,1.53,121,114,7,51.49,5.48,4,7,-3,36.36,16.36,4.12,3.9,0.22,51.37,7.8,3,2,-1,33,13.51,1.21,0.5,25,93.59,55.7,28.63,29.41,46.5,28.96,49.46
"T.J..GALIARDI","2009-2010","COL","L",13,136.37,1,4,5,3,2.2,1.32,2.26,0.99,90,143,-53,38.63,-4.42,6,5,1,54.55,-9.09,3.97,5.11,-1.14,43.72,-0.7,2,4,2,23,10.12,1.16,0.51,7.69,103.32,50,23.38,28.42,43.98,28.15,50.22
"TJ.GALIARDI","2009-2010","COL","L",57,799.55,8,15,23,15,1.73,1.13,14.94,1.12,606,780,-174,43.72,-3.03,35,35,0,50,-2.59,26.66,31.07,-4.41,46.18,-4.75,7,15,8,160,12.01,7.89,0.59,9.76,102.16,48.48,30.02,30.63,44.74,29.39,49.84
